Continent ,Year,average_suicide,average_gdp
Africa,2000,8.3,1184.5
Asia,2000,9.1,7217.7
Europe,2000,18.3,14052.4
North America,2000,7.8,7111.3
South America,2000,11.8,3395.9
Oceania,2000,9.1,4992.1
Africa,2005,8,1984.5
Asia,2005,8.7,9745
Europe,2005,16.8,23590.4
North America,2005,7.3,9281.1
South America,2005,12.2,3840.1
Oceania,2005,8,8368.2
Africa,2010,7.8,2787.3
Asia,2010,8.1,13149.3
Europe,2010,15.4,28622.4
North America,2010,7.3,11372.1
South America,2010,12.7,7816
Oceania,2010,7.7,11566.8
Africa,2015,7.6,2613.9
Asia,2015,7.4,13405.5
Europe,2015,14.3,27719.8
North America,2015,7.5,12766.6
South America,2015,13.1,8845.4
Oceania,2015,7.6,13114.7
Africa,2020,7.6,2525.2
Asia,2020,7.3,13081.8
Europe,2020,14.1,28124.2
North America,2020,7.5,12754.3
South America,2020,12.5,8428.4
Oceania,2020,7.5,12513.3
,,,
,,,
,,,
,,,
,,,
